,Date,GDP,Unemployment Rate,Consumer Price Index,Federal Funds Rate,10-Year Treasury Constant Maturity Rate
0,2018-01-01,20044.077,4.0,248.859,1.41,2.58
1,2018-01-02,20044.077,4.0,248.859,1.41,2.58
2,2018-01-03,20044.077,4.0,248.859,1.41,2.58
3,2018-01-04,20044.077,4.0,248.859,1.41,2.58
4,2018-01-05,20044.077,4.0,248.859,1.41,2.58
5,2018-01-06,20044.077,4.0,248.859,1.41,2.58
6,2018-01-07,20044.077,4.0,248.859,1.41,2.58
7,2018-01-08,20044.077,4.0,248.859,1.41,2.58
8,2018-01-09,20044.077,4.0,248.859,1.41,2.58
9,2018-01-10,20044.077,4.0,248.859,1.41,2.58
10,2018-01-11,20044.077,4.0,248.859,1.41,2.58
11,2018-01-12,20044.077,4.0,248.859,1.41,2.58
12,2018-01-13,20044.077,4.0,248.859,1.41,2.58
13,2018-01-14,20044.077,4.0,248.859,1.41,2.58
14,2018-01-15,20044.077,4.0,248.859,1.41,2.58
15,2018-01-16,20044.077,4.0,248.859,1.41,2.58
16,2018-01-17,20044.077,4.0,248.859,1.41,2.58
17,2018-01-18,20044.077,4.0,248.859,1.41,2.58
18,2018-01-19,20044.077,4.0,248.859,1.41,2.58
19,2018-01-20,20044.077,4.0,248.859,1.41,2.58
20,2018-01-21,20044.077,4.0,248.859,1.41,2.58
21,2018-01-22,20044.077,4.0,248.859,1.41,2.58
22,2018-01-23,20044.077,4.0,248.859,1.41,2.58
23,2018-01-24,20044.077,4.0,248.859,1.41,2.58
24,2018-01-25,20044.077,4.0,248.859,1.41,2.58
25,2018-01-26,20044.077,4.0,248.859,1.41,2.58
26,2018-01-27,20044.077,4.0,248.859,1.41,2.58
27,2018-01-28,20044.077,4.0,248.859,1.41,2.58
28,2018-01-29,20044.077,4.0,248.859,1.41,2.58
29,2018-01-30,20044.077,4.0,248.859,1.41,2.58
30,2018-01-31,20044.077,4.0,248.859,1.41,2.58
31,2018-02-01,20044.077,4.1,249.529,1.42,2.86
32,2018-02-02,20044.077,4.1,249.529,1.42,2.86
33,2018-02-03,20044.077,4.1,249.529,1.42,2.86
34,2018-02-04,20044.077,4.1,249.529,1.42,2.86
35,2018-02-05,20044.077,4.1,249.529,1.42,2.86
36,2018-02-06,20044.077,4.1,249.529,1.42,2.86
37,2018-02-07,20044.077,4.1,249.529,1.42,2.86
38,2018-02-08,20044.077,4.1,249.529,1.42,2.86
39,2018-02-09,20044.077,4.1,249.529,1.42,2.86
40,2018-02-10,20044.077,4.1,249.529,1.42,2.86
41,2018-02-11,20044.077,4.1,249.529,1.42,2.86
42,2018-02-12,20044.077,4.1,249.529,1.42,2.86
43,2018-02-13,20044.077,4.1,249.529,1.42,2.86
44,2018-02-14,20044.077,4.1,249.529,1.42,2.86
45,2018-02-15,20044.077,4.1,249.529,1.42,2.86
46,2018-02-16,20044.077,4.1,249.529,1.42,2.86
47,2018-02-17,20044.077,4.1,249.529,1.42,2.86
48,2018-02-18,20044.077,4.1,249.529,1.42,2.86
49,2018-02-19,20044.077,4.1,249.529,1.42,2.86
50,2018-02-20,20044.077,4.1,249.529,1.42,2.86
51,2018-02-21,20044.077,4.1,249.529,1.42,2.86
52,2018-02-22,20044.077,4.1,249.529,1.42,2.86
53,2018-02-23,20044.077,4.1,249.529,1.42,2.86
54,2018-02-24,20044.077,4.1,249.529,1.42,2.86
55,2018-02-25,20044.077,4.1,249.529,1.42,2.86
56,2018-02-26,20044.077,4.1,249.529,1.42,2.86
57,2018-02-27,20044.077,4.1,249.529,1.42,2.86
58,2018-02-28,20044.077,4.1,249.529,1.42,2.86
59,2018-03-01,20044.077,4.0,249.577,1.51,2.84
60,2018-03-02,20044.077,4.0,249.577,1.51,2.84
61,2018-03-03,20044.077,4.0,249.577,1.51,2.84
62,2018-03-04,20044.077,4.0,249.577,1.51,2.84
63,2018-03-05,20044.077,4.0,249.577,1.51,2.84
64,2018-03-06,20044.077,4.0,249.577,1.51,2.84
65,2018-03-07,20044.077,4.0,249.577,1.51,2.84
66,2018-03-08,20044.077,4.0,249.577,1.51,2.84
67,2018-03-09,20044.077,4.0,249.577,1.51,2.84
68,2018-03-10,20044.077,4.0,249.577,1.51,2.84
69,2018-03-11,20044.077,4.0,249.577,1.51,2.84
70,2018-03-12,20044.077,4.0,249.577,1.51,2.84
71,2018-03-13,20044.077,4.0,249.577,1.51,2.84
72,2018-03-14,20044.077,4.0,249.577,1.51,2.84
73,2018-03-15,20044.077,4.0,249.577,1.51,2.84
74,2018-03-16,20044.077,4.0,249.577,1.51,2.84
75,2018-03-17,20044.077,4.0,249.577,1.51,2.84
76,2018-03-18,20044.077,4.0,249.577,1.51,2.84
77,2018-03-19,20044.077,4.0,249.577,1.51,2.84
78,2018-03-20,20044.077,4.0,249.577,1.51,2.84
79,2018-03-21,20044.077,4.0,249.577,1.51,2.84
80,2018-03-22,20044.077,4.0,249.577,1.51,2.84
81,2018-03-23,20044.077,4.0,249.577,1.51,2.84
82,2018-03-24,20044.077,4.0,249.577,1.51,2.84
83,2018-03-25,20044.077,4.0,249.577,1.51,2.84
84,2018-03-26,20044.077,4.0,249.577,1.51,2.84
85,2018-03-27,20044.077,4.0,249.577,1.51,2.84
86,2018-03-28,20044.077,4.0,249.577,1.51,2.84
87,2018-03-29,20044.077,4.0,249.577,1.51,2.84
88,2018-03-30,20044.077,4.0,249.577,1.51,2.84
89,2018-03-31,20044.077,4.0,249.577,1.51,2.84
90,2018-04-01,20150.476,4.0,250.227,1.69,2.87
91,2018-04-02,20150.476,4.0,250.227,1.69,2.87
92,2018-04-03,20150.476,4.0,250.227,1.69,2.87
93,2018-04-04,20150.476,4.0,250.227,1.69,2.87
94,2018-04-05,20150.476,4.0,250.227,1.69,2.87
95,2018-04-06,20150.476,4.0,250.227,1.69,2.87
96,2018-04-07,20150.476,4.0,250.227,1.69,2.87
97,2018-04-08,20150.476,4.0,250.227,1.69,2.87
98,2018-04-09,20150.476,4.0,250.227,1.69,2.87
99,2018-04-10,20150.476,4.0,250.227,1.69,2.87
100,2018-04-11,20150.476,4.0,250.227,1.69,2.87
101,2018-04-12,20150.476,4.0,250.227,1.69,2.87
102,2018-04-13,20150.476,4.0,250.227,1.69,2.87
103,2018-04-14,20150.476,4.0,250.227,1.69,2.87
104,2018-04-15,20150.476,4.0,250.227,1.69,2.87
105,2018-04-16,20150.476,4.0,250.227,1.69,2.87
106,2018-04-17,20150.476,4.0,250.227,1.69,2.87
107,2018-04-18,20150.476,4.0,250.227,1.69,2.87
108,2018-04-19,20150.476,4.0,250.227,1.69,2.87
109,2018-04-20,20150.476,4.0,250.227,1.69,2.87
110,2018-04-21,20150.476,4.0,250.227,1.69,2.87
111,2018-04-22,20150.476,4.0,250.227,1.69,2.87
112,2018-04-23,20150.476,4.0,250.227,1.69,2.87
113,2018-04-24,20150.476,4.0,250.227,1.69,2.87
114,2018-04-25,20150.476,4.0,250.227,1.69,2.87
115,2018-04-26,20150.476,4.0,250.227,1.69,2.87
116,2018-04-27,20150.476,4.0,250.227,1.69,2.87
117,2018-04-28,20150.476,4.0,250.227,1.69,2.87
118,2018-04-29,20150.476,4.0,250.227,1.69,2.87
119,2018-04-30,20150.476,4.0,250.227,1.69,2.87
120,2018-05-01,20150.476,3.8,250.792,1.7,2.98
121,2018-05-02,20150.476,3.8,250.792,1.7,2.98
122,2018-05-03,20150.476,3.8,250.792,1.7,2.98
123,2018-05-04,20150.476,3.8,250.792,1.7,2.98
124,2018-05-05,20150.476,3.8,250.792,1.7,2.98
125,2018-05-06,20150.476,3.8,250.792,1.7,2.98
126,2018-05-07,20150.476,3.8,250.792,1.7,2.98
127,2018-05-08,20150.476,3.8,250.792,1.7,2.98
128,2018-05-09,20150.476,3.8,250.792,1.7,2.98
129,2018-05-10,20150.476,3.8,250.792,1.7,2.98
130,2018-05-11,20150.476,3.8,250.792,1.7,2.98
131,2018-05-12,20150.476,3.8,250.792,1.7,2.98
132,2018-05-13,20150.476,3.8,250.792,1.7,2.98
133,2018-05-14,20150.476,3.8,250.792,1.7,2.98
134,2018-05-15,20150.476,3.8,250.792,1.7,2.98
135,2018-05-16,20150.476,3.8,250.792,1.7,2.98
136,2018-05-17,20150.476,3.8,250.792,1.7,2.98
137,2018-05-18,20150.476,3.8,250.792,1.7,2.98
138,2018-05-19,20150.476,3.8,250.792,1.7,2.98
139,2018-05-20,20150.476,3.8,250.792,1.7,2.98
140,2018-05-21,20150.476,3.8,250.792,1.7,2.98
141,2018-05-22,20150.476,3.8,250.792,1.7,2.98
142,2018-05-23,20150.476,3.8,250.792,1.7,2.98
143,2018-05-24,20150.476,3.8,250.792,1.7,2.98
144,2018-05-25,20150.476,3.8,250.792,1.7,2.98
145,2018-05-26,20150.476,3.8,250.792,1.7,2.98
146,2018-05-27,20150.476,3.8,250.792,1.7,2.98
147,2018-05-28,20150.476,3.8,250.792,1.7,2.98
148,2018-05-29,20150.476,3.8,250.792,1.7,2.98
149,2018-05-30,20150.476,3.8,250.792,1.7,2.98
150,2018-05-31,20150.476,3.8,250.792,1.7,2.98
151,2018-06-01,20150.476,4.0,251.018,1.82,2.91
152,2018-06-02,20150.476,4.0,251.018,1.82,2.91
153,2018-06-03,20150.476,4.0,251.018,1.82,2.91
154,2018-06-04,20150.476,4.0,251.018,1.82,2.91
155,2018-06-05,20150.476,4.0,251.018,1.82,2.91
156,2018-06-06,20150.476,4.0,251.018,1.82,2.91
157,2018-06-07,20150.476,4.0,251.018,1.82,2.91
158,2018-06-08,20150.476,4.0,251.018,1.82,2.91
159,2018-06-09,20150.476,4.0,251.018,1.82,2.91
160,2018-06-10,20150.476,4.0,251.018,1.82,2.91
161,2018-06-11,20150.476,4.0,251.018,1.82,2.91
162,2018-06-12,20150.476,4.0,251.018,1.82,2.91
163,2018-06-13,20150.476,4.0,251.018,1.82,2.91
164,2018-06-14,20150.476,4.0,251.018,1.82,2.91
165,2018-06-15,20150.476,4.0,251.018,1.82,2.91
166,2018-06-16,20150.476,4.0,251.018,1.82,2.91
167,2018-06-17,20150.476,4.0,251.018,1.82,2.91
168,2018-06-18,20150.476,4.0,251.018,1.82,2.91
169,2018-06-19,20150.476,4.0,251.018,1.82,2.91
170,2018-06-20,20150.476,4.0,251.018,1.82,2.91
171,2018-06-21,20150.476,4.0,251.018,1.82,2.91
172,2018-06-22,20150.476,4.0,251.018,1.82,2.91
173,2018-06-23,20150.476,4.0,251.018,1.82,2.91
174,2018-06-24,20150.476,4.0,251.018,1.82,2.91
175,2018-06-25,20150.476,4.0,251.018,1.82,2.91
176,2018-06-26,20150.476,4.0,251.018,1.82,2.91
177,2018-06-27,20150.476,4.0,251.018,1.82,2.91
178,2018-06-28,20150.476,4.0,251.018,1.82,2.91
179,2018-06-29,20150.476,4.0,251.018,1.82,2.91
180,2018-06-30,20150.476,4.0,251.018,1.82,2.91
181,2018-07-01,20276.154,3.8,251.214,1.91,2.89
182,2018-07-02,20276.154,3.8,251.214,1.91,2.89
183,2018-07-03,20276.154,3.8,251.214,1.91,2.89
184,2018-07-04,20276.154,3.8,251.214,1.91,2.89
185,2018-07-05,20276.154,3.8,251.214,1.91,2.89
186,2018-07-06,20276.154,3.8,251.214,1.91,2.89
187,2018-07-07,20276.154,3.8,251.214,1.91,2.89
188,2018-07-08,20276.154,3.8,251.214,1.91,2.89
189,2018-07-09,20276.154,3.8,251.214,1.91,2.89
190,2018-07-10,20276.154,3.8,251.214,1.91,2.89
191,2018-07-11,20276.154,3.8,251.214,1.91,2.89
192,2018-07-12,20276.154,3.8,251.214,1.91,2.89
193,2018-07-13,20276.154,3.8,251.214,1.91,2.89
194,2018-07-14,20276.154,3.8,251.214,1.91,2.89
195,2018-07-15,20276.154,3.8,251.214,1.91,2.89
196,2018-07-16,20276.154,3.8,251.214,1.91,2.89
197,2018-07-17,20276.154,3.8,251.214,1.91,2.89
198,2018-07-18,20276.154,3.8,251.214,1.91,2.89
199,2018-07-19,20276.154,3.8,251.214,1.91,2.89
200,2018-07-20,20276.154,3.8,251.214,1.91,2.89
201,2018-07-21,20276.154,3.8,251.214,1.91,2.89
202,2018-07-22,20276.154,3.8,251.214,1.91,2.89
203,2018-07-23,20276.154,3.8,251.214,1.91,2.89
204,2018-07-24,20276.154,3.8,251.214,1.91,2.89
205,2018-07-25,20276.154,3.8,251.214,1.91,2.89
206,2018-07-26,20276.154,3.8,251.214,1.91,2.89
207,2018-07-27,20276.154,3.8,251.214,1.91,2.89
208,2018-07-28,20276.154,3.8,251.214,1.91,2.89
209,2018-07-29,20276.154,3.8,251.214,1.91,2.89
210,2018-07-30,20276.154,3.8,251.214,1.91,2.89
211,2018-07-31,20276.154,3.8,251.214,1.91,2.89
212,2018-08-01,20276.154,3.8,251.663,1.91,2.89
213,2018-08-02,20276.154,3.8,251.663,1.91,2.89
214,2018-08-03,20276.154,3.8,251.663,1.91,2.89
215,2018-08-04,20276.154,3.8,251.663,1.91,2.89
216,2018-08-05,20276.154,3.8,251.663,1.91,2.89
217,2018-08-06,20276.154,3.8,251.663,1.91,2.89
218,2018-08-07,20276.154,3.8,251.663,1.91,2.89
219,2018-08-08,20276.154,3.8,251.663,1.91,2.89
220,2018-08-09,20276.154,3.8,251.663,1.91,2.89
221,2018-08-10,20276.154,3.8,251.663,1.91,2.89
222,2018-08-11,20276.154,3.8,251.663,1.91,2.89
223,2018-08-12,20276.154,3.8,251.663,1.91,2.89
224,2018-08-13,20276.154,3.8,251.663,1.91,2.89
225,2018-08-14,20276.154,3.8,251.663,1.91,2.89
226,2018-08-15,20276.154,3.8,251.663,1.91,2.89
227,2018-08-16,20276.154,3.8,251.663,1.91,2.89
228,2018-08-17,20276.154,3.8,251.663,1.91,2.89
229,2018-08-18,20276.154,3.8,251.663,1.91,2.89
230,2018-08-19,20276.154,3.8,251.663,1.91,2.89
231,2018-08-20,20276.154,3.8,251.663,1.91,2.89
232,2018-08-21,20276.154,3.8,251.663,1.91,2.89
233,2018-08-22,20276.154,3.8,251.663,1.91,2.89
234,2018-08-23,20276.154,3.8,251.663,1.91,2.89
235,2018-08-24,20276.154,3.8,251.663,1.91,2.89
236,2018-08-25,20276.154,3.8,251.663,1.91,2.89
237,2018-08-26,20276.154,3.8,251.663,1.91,2.89
238,2018-08-27,20276.154,3.8,251.663,1.91,2.89
239,2018-08-28,20276.154,3.8,251.663,1.91,2.89
240,2018-08-29,20276.154,3.8,251.663,1.91,2.89
241,2018-08-30,20276.154,3.8,251.663,1.91,2.89
242,2018-08-31,20276.154,3.8,251.663,1.91,2.89
243,2018-09-01,20276.154,3.7,252.182,1.95,3.0
244,2018-09-02,20276.154,3.7,252.182,1.95,3.0
245,2018-09-03,20276.154,3.7,252.182,1.95,3.0
246,2018-09-04,20276.154,3.7,252.182,1.95,3.0
247,2018-09-05,20276.154,3.7,252.182,1.95,3.0
248,2018-09-06,20276.154,3.7,252.182,1.95,3.0
249,2018-09-07,20276.154,3.7,252.182,1.95,3.0
250,2018-09-08,20276.154,3.7,252.182,1.95,3.0
251,2018-09-09,20276.154,3.7,252.182,1.95,3.0
252,2018-09-10,20276.154,3.7,252.182,1.95,3.0
253,2018-09-11,20276.154,3.7,252.182,1.95,3.0
254,2018-09-12,20276.154,3.7,252.182,1.95,3.0
255,2018-09-13,20276.154,3.7,252.182,1.95,3.0
256,2018-09-14,20276.154,3.7,252.182,1.95,3.0
257,2018-09-15,20276.154,3.7,252.182,1.95,3.0
258,2018-09-16,20276.154,3.7,252.182,1.95,3.0
259,2018-09-17,20276.154,3.7,252.182,1.95,3.0
260,2018-09-18,20276.154,3.7,252.182,1.95,3.0
261,2018-09-19,20276.154,3.7,252.182,1.95,3.0
262,2018-09-20,20276.154,3.7,252.182,1.95,3.0
263,2018-09-21,20276.154,3.7,252.182,1.95,3.0
264,2018-09-22,20276.154,3.7,252.182,1.95,3.0
265,2018-09-23,20276.154,3.7,252.182,1.95,3.0
266,2018-09-24,20276.154,3.7,252.182,1.95,3.0
267,2018-09-25,20276.154,3.7,252.182,1.95,3.0
268,2018-09-26,20276.154,3.7,252.182,1.95,3.0
269,2018-09-27,20276.154,3.7,252.182,1.95,3.0
270,2018-09-28,20276.154,3.7,252.182,1.95,3.0
271,2018-09-29,20276.154,3.7,252.182,1.95,3.0
272,2018-09-30,20276.154,3.7,252.182,1.95,3.0
273,2018-10-01,20304.874,3.8,252.772,2.19,3.15
274,2018-10-02,20304.874,3.8,252.772,2.19,3.15
275,2018-10-03,20304.874,3.8,252.772,2.19,3.15
276,2018-10-04,20304.874,3.8,252.772,2.19,3.15
277,2018-10-05,20304.874,3.8,252.772,2.19,3.15
278,2018-10-06,20304.874,3.8,252.772,2.19,3.15
279,2018-10-07,20304.874,3.8,252.772,2.19,3.15
280,2018-10-08,20304.874,3.8,252.772,2.19,3.15
281,2018-10-09,20304.874,3.8,252.772,2.19,3.15
282,2018-10-10,20304.874,3.8,252.772,2.19,3.15
283,2018-10-11,20304.874,3.8,252.772,2.19,3.15
284,2018-10-12,20304.874,3.8,252.772,2.19,3.15
285,2018-10-13,20304.874,3.8,252.772,2.19,3.15
286,2018-10-14,20304.874,3.8,252.772,2.19,3.15
287,2018-10-15,20304.874,3.8,252.772,2.19,3.15
288,2018-10-16,20304.874,3.8,252.772,2.19,3.15
289,2018-10-17,20304.874,3.8,252.772,2.19,3.15
290,2018-10-18,20304.874,3.8,252.772,2.19,3.15
291,2018-10-19,20304.874,3.8,252.772,2.19,3.15
292,2018-10-20,20304.874,3.8,252.772,2.19,3.15
293,2018-10-21,20304.874,3.8,252.772,2.19,3.15
294,2018-10-22,20304.874,3.8,252.772,2.19,3.15
295,2018-10-23,20304.874,3.8,252.772,2.19,3.15
296,2018-10-24,20304.874,3.8,252.772,2.19,3.15
297,2018-10-25,20304.874,3.8,252.772,2.19,3.15
298,2018-10-26,20304.874,3.8,252.772,2.19,3.15
299,2018-10-27,20304.874,3.8,252.772,2.19,3.15
300,2018-10-28,20304.874,3.8,252.772,2.19,3.15
301,2018-10-29,20304.874,3.8,252.772,2.19,3.15
302,2018-10-30,20304.874,3.8,252.772,2.19,3.15
303,2018-10-31,20304.874,3.8,252.772,2.19,3.15
304,2018-11-01,20304.874,3.8,252.594,2.2,3.12
305,2018-11-02,20304.874,3.8,252.594,2.2,3.12
306,2018-11-03,20304.874,3.8,252.594,2.2,3.12
307,2018-11-04,20304.874,3.8,252.594,2.2,3.12
308,2018-11-05,20304.874,3.8,252.594,2.2,3.12
309,2018-11-06,20304.874,3.8,252.594,2.2,3.12
310,2018-11-07,20304.874,3.8,252.594,2.2,3.12
311,2018-11-08,20304.874,3.8,252.594,2.2,3.12
312,2018-11-09,20304.874,3.8,252.594,2.2,3.12
313,2018-11-10,20304.874,3.8,252.594,2.2,3.12
314,2018-11-11,20304.874,3.8,252.594,2.2,3.12
315,2018-11-12,20304.874,3.8,252.594,2.2,3.12
316,2018-11-13,20304.874,3.8,252.594,2.2,3.12
317,2018-11-14,20304.874,3.8,252.594,2.2,3.12
318,2018-11-15,20304.874,3.8,252.594,2.2,3.12
319,2018-11-16,20304.874,3.8,252.594,2.2,3.12
320,2018-11-17,20304.874,3.8,252.594,2.2,3.12
321,2018-11-18,20304.874,3.8,252.594,2.2,3.12
322,2018-11-19,20304.874,3.8,252.594,2.2,3.12
323,2018-11-20,20304.874,3.8,252.594,2.2,3.12
324,2018-11-21,20304.874,3.8,252.594,2.2,3.12
325,2018-11-22,20304.874,3.8,252.594,2.2,3.12
326,2018-11-23,20304.874,3.8,252.594,2.2,3.12
327,2018-11-24,20304.874,3.8,252.594,2.2,3.12
328,2018-11-25,20304.874,3.8,252.594,2.2,3.12
329,2018-11-26,20304.874,3.8,252.594,2.2,3.12
330,2018-11-27,20304.874,3.8,252.594,2.2,3.12
331,2018-11-28,20304.874,3.8,252.594,2.2,3.12
332,2018-11-29,20304.874,3.8,252.594,2.2,3.12
333,2018-11-30,20304.874,3.8,252.594,2.2,3.12
334,2018-12-01,20304.874,3.9,252.767,2.27,2.83
335,2018-12-02,20304.874,3.9,252.767,2.27,2.83
336,2018-12-03,20304.874,3.9,252.767,2.27,2.83
337,2018-12-04,20304.874,3.9,252.767,2.27,2.83
338,2018-12-05,20304.874,3.9,252.767,2.27,2.83
339,2018-12-06,20304.874,3.9,252.767,2.27,2.83
340,2018-12-07,20304.874,3.9,252.767,2.27,2.83
341,2018-12-08,20304.874,3.9,252.767,2.27,2.83
342,2018-12-09,20304.874,3.9,252.767,2.27,2.83
343,2018-12-10,20304.874,3.9,252.767,2.27,2.83
344,2018-12-11,20304.874,3.9,252.767,2.27,2.83
345,2018-12-12,20304.874,3.9,252.767,2.27,2.83
346,2018-12-13,20304.874,3.9,252.767,2.27,2.83
347,2018-12-14,20304.874,3.9,252.767,2.27,2.83
348,2018-12-15,20304.874,3.9,252.767,2.27,2.83
349,2018-12-16,20304.874,3.9,252.767,2.27,2.83
350,2018-12-17,20304.874,3.9,252.767,2.27,2.83
351,2018-12-18,20304.874,3.9,252.767,2.27,2.83
352,2018-12-19,20304.874,3.9,252.767,2.27,2.83
353,2018-12-20,20304.874,3.9,252.767,2.27,2.83
354,2018-12-21,20304.874,3.9,252.767,2.27,2.83
355,2018-12-22,20304.874,3.9,252.767,2.27,2.83
356,2018-12-23,20304.874,3.9,252.767,2.27,2.83
357,2018-12-24,20304.874,3.9,252.767,2.27,2.83
358,2018-12-25,20304.874,3.9,252.767,2.27,2.83
359,2018-12-26,20304.874,3.9,252.767,2.27,2.83
360,2018-12-27,20304.874,3.9,252.767,2.27,2.83
361,2018-12-28,20304.874,3.9,252.767,2.27,2.83
362,2018-12-29,20304.874,3.9,252.767,2.27,2.83
363,2018-12-30,20304.874,3.9,252.767,2.27,2.83
364,2018-12-31,20304.874,3.9,252.767,2.27,2.83
365,2019-01-01,20415.15,4.0,252.561,2.4,2.71
366,2019-01-02,20415.15,4.0,252.561,2.4,2.71
367,2019-01-03,20415.15,4.0,252.561,2.4,2.71
368,2019-01-04,20415.15,4.0,252.561,2.4,2.71
369,2019-01-05,20415.15,4.0,252.561,2.4,2.71
370,2019-01-06,20415.15,4.0,252.561,2.4,2.71
371,2019-01-07,20415.15,4.0,252.561,2.4,2.71
372,2019-01-08,20415.15,4.0,252.561,2.4,2.71
373,2019-01-09,20415.15,4.0,252.561,2.4,2.71
374,2019-01-10,20415.15,4.0,252.561,2.4,2.71
375,2019-01-11,20415.15,4.0,252.561,2.4,2.71
376,2019-01-12,20415.15,4.0,252.561,2.4,2.71
377,2019-01-13,20415.15,4.0,252.561,2.4,2.71
378,2019-01-14,20415.15,4.0,252.561,2.4,2.71
379,2019-01-15,20415.15,4.0,252.561,2.4,2.71
380,2019-01-16,20415.15,4.0,252.561,2.4,2.71
381,2019-01-17,20415.15,4.0,252.561,2.4,2.71
382,2019-01-18,20415.15,4.0,252.561,2.4,2.71
383,2019-01-19,20415.15,4.0,252.561,2.4,2.71
384,2019-01-20,20415.15,4.0,252.561,2.4,2.71
385,2019-01-21,20415.15,4.0,252.561,2.4,2.71
386,2019-01-22,20415.15,4.0,252.561,2.4,2.71
387,2019-01-23,20415.15,4.0,252.561,2.4,2.71
388,2019-01-24,20415.15,4.0,252.561,2.4,2.71
389,2019-01-25,20415.15,4.0,252.561,2.4,2.71
390,2019-01-26,20415.15,4.0,252.561,2.4,2.71
391,2019-01-27,20415.15,4.0,252.561,2.4,2.71
392,2019-01-28,20415.15,4.0,252.561,2.4,2.71
393,2019-01-29,20415.15,4.0,252.561,2.4,2.71
394,2019-01-30,20415.15,4.0,252.561,2.4,2.71
395,2019-01-31,20415.15,4.0,252.561,2.4,2.71
396,2019-02-01,20415.15,3.8,253.319,2.4,2.68
397,2019-02-02,20415.15,3.8,253.319,2.4,2.68
398,2019-02-03,20415.15,3.8,253.319,2.4,2.68
399,2019-02-04,20415.15,3.8,253.319,2.4,2.68
400,2019-02-05,20415.15,3.8,253.319,2.4,2.68
401,2019-02-06,20415.15,3.8,253.319,2.4,2.68
402,2019-02-07,20415.15,3.8,253.319,2.4,2.68
403,2019-02-08,20415.15,3.8,253.319,2.4,2.68
404,2019-02-09,20415.15,3.8,253.319,2.4,2.68
405,2019-02-10,20415.15,3.8,253.319,2.4,2.68
406,2019-02-11,20415.15,3.8,253.319,2.4,2.68
407,2019-02-12,20415.15,3.8,253.319,2.4,2.68
408,2019-02-13,20415.15,3.8,253.319,2.4,2.68
409,2019-02-14,20415.15,3.8,253.319,2.4,2.68
410,2019-02-15,20415.15,3.8,253.319,2.4,2.68
411,2019-02-16,20415.15,3.8,253.319,2.4,2.68
412,2019-02-17,20415.15,3.8,253.319,2.4,2.68
413,2019-02-18,20415.15,3.8,253.319,2.4,2.68
414,2019-02-19,20415.15,3.8,253.319,2.4,2.68
415,2019-02-20,20415.15,3.8,253.319,2.4,2.68
416,2019-02-21,20415.15,3.8,253.319,2.4,2.68
417,2019-02-22,20415.15,3.8,253.319,2.4,2.68
418,2019-02-23,20415.15,3.8,253.319,2.4,2.68
419,2019-02-24,20415.15,3.8,253.319,2.4,2.68
420,2019-02-25,20415.15,3.8,253.319,2.4,2.68
421,2019-02-26,20415.15,3.8,253.319,2.4,2.68
422,2019-02-27,20415.15,3.8,253.319,2.4,2.68
423,2019-02-28,20415.15,3.8,253.319,2.4,2.68
424,2019-03-01,20415.15,3.8,254.277,2.41,2.57
425,2019-03-02,20415.15,3.8,254.277,2.41,2.57
426,2019-03-03,20415.15,3.8,254.277,2.41,2.57
427,2019-03-04,20415.15,3.8,254.277,2.41,2.57
428,2019-03-05,20415.15,3.8,254.277,2.41,2.57
429,2019-03-06,20415.15,3.8,254.277,2.41,2.57
430,2019-03-07,20415.15,3.8,254.277,2.41,2.57
431,2019-03-08,20415.15,3.8,254.277,2.41,2.57
432,2019-03-09,20415.15,3.8,254.277,2.41,2.57
433,2019-03-10,20415.15,3.8,254.277,2.41,2.57
434,2019-03-11,20415.15,3.8,254.277,2.41,2.57
435,2019-03-12,20415.15,3.8,254.277,2.41,2.57
436,2019-03-13,20415.15,3.8,254.277,2.41,2.57
437,2019-03-14,20415.15,3.8,254.277,2.41,2.57
438,2019-03-15,20415.15,3.8,254.277,2.41,2.57
439,2019-03-16,20415.15,3.8,254.277,2.41,2.57
440,2019-03-17,20415.15,3.8,254.277,2.41,2.57
441,2019-03-18,20415.15,3.8,254.277,2.41,2.57
442,2019-03-19,20415.15,3.8,254.277,2.41,2.57
443,2019-03-20,20415.15,3.8,254.277,2.41,2.57
444,2019-03-21,20415.15,3.8,254.277,2.41,2.57
445,2019-03-22,20415.15,3.8,254.277,2.41,2.57
446,2019-03-23,20415.15,3.8,254.277,2.41,2.57
447,2019-03-24,20415.15,3.8,254.277,2.41,2.57
448,2019-03-25,20415.15,3.8,254.277,2.41,2.57
449,2019-03-26,20415.15,3.8,254.277,2.41,2.57
450,2019-03-27,20415.15,3.8,254.277,2.41,2.57
451,2019-03-28,20415.15,3.8,254.277,2.41,2.57
452,2019-03-29,20415.15,3.8,254.277,2.41,2.57
453,2019-03-30,20415.15,3.8,254.277,2.41,2.57
454,2019-03-31,20415.15,3.8,254.277,2.41,2.57
455,2019-04-01,20584.528,3.7,255.233,2.42,2.53
456,2019-04-02,20584.528,3.7,255.233,2.42,2.53
457,2019-04-03,20584.528,3.7,255.233,2.42,2.53
458,2019-04-04,20584.528,3.7,255.233,2.42,2.53
459,2019-04-05,20584.528,3.7,255.233,2.42,2.53
460,2019-04-06,20584.528,3.7,255.233,2.42,2.53
461,2019-04-07,20584.528,3.7,255.233,2.42,2.53
462,2019-04-08,20584.528,3.7,255.233,2.42,2.53
463,2019-04-09,20584.528,3.7,255.233,2.42,2.53
